['58266', '58269']
['58269', '58236']
['58236', '58245']
['58245', '58290']
['58290', '58136']
['58136', '58143']
['58143', '58270']
['58270', '58272']
['58272', '58274']
['58274', '58174']
['58174', '58247']
['58247', '58275']
['58275', '58276']
['58276', '58301']
['58301', '58303']
['58303', '58200']
['58200', '58202']
['58202', '58013']
['58013', '58208']
['58208', '58004']
['58004', '58018']
['58018', '58014']
['58014', '58251']
['58251', '58015']
['58015', '58016']
['58016', '58278']
['58278', '58279']
['58279', '58235']
['58235', '58280']
['58280', '58214']
['58214', '60287']
['60287', '58281']
['58281', '58218']
['58218', '58282']
['58282', '58283']
['58283', '54064']
['54064', '53766']
['53766', '53691']
['53691', '53771']
['53771', '53767']
['53767', '53768']
['53768', '53769']
['53769', '50129']
['50129', '50133']
['50133', '50135']
['50135', '50137']
['50137', '50139']
['50139', '50141']
['50141', '50145']
['50145', '50146']
['50146', '50148']
['50148', '50150']
['50150', '50151']
['50151', '50158']
['50158', '50160']
['50160', '50165']
['50165', '50169']
['50169', '50176']
['50176', '50181']
['50181', '50188']
['50188', '50200']
['50200', '50206']
['50206', '50210']
['50210', '50220']
['50220', '50230']
['50230', '50234']
['50234', '50239']
['50239', '53801']
['53801', '53803']
['53803', '50254']
['50254', '50258']
['50258', '50267']
['50267', '50272']
['50272', '50275']
['50275', '50282']
['50282', '50295']
['50295', '50295']
['1', '1']
['1', '54126']
['54126', '50321']
['50321', '50335']
['50335', '50351']
